year;month;day;data
2009;12;06;[['tänään', 'juhlia', 'itsenäisyyspäivä'], ['puheloinen', 'katse', 'kohti', 'nuora'], ['tanska', 'ottaa', 'ilmastopakolainen'], ['venäjä', 'surra', 'yökerhopalko', 'uhri'], ['viitanen', 'voittaa', 'aerobic', 'mm', 'kullata'], ['tv25sa', 'talvinen', 'urheilusunnuntat']]
2009;12;07;[['khd', 'hyljätä', 'väylämaksuvaade'], ['linna', 'linnanjuhla', 'taas', 'miljoonayleisö'], ['kööpenhamina', 'ilmastokokous', 'alkaa'], ['eu', 'huoli', 'kopiolääke'], ['kreikka', 'mellakka', 'jatkua']]
2009;12;08;[['taxellin', 'komitea', 'työ', 'viivästyä'], ['bkt', 'lähteä', 'loppukesä', 'nousu'], ['koti', 'velka', 'lähes', '100', 'miljardi'], ['bagdad', 'isku', 'kuolla', 'kymmenen'], ['36', 'brodeur', 'nousta', 'sawchukin', 'rinna']]
2009;12;09;[['destia', 'näyttää', 'ovi', '220'], ['tapiola', 'veikka', 'hidas', 'nousu'], ['tu', 'hyljätä', 'sovintoesitys'], ['moni', 'nuori', 'olla', 'ajokieltokierre'], ['kööpenhamina', 'kireä', 'tunnelma']]
2009;12;10;[['ääkäripula', 'helpottanut', 'roima'], ['ylipäällikkyys', 'yhä', 'presidentti'], ['kauppa', 'ei', 'huoli', 'pankkilakko'], ['kilpailu', 'rassata', 'sosiaalipalvelu'], ['teollisuustuotanto', 'alamaki', 'loivent'], ['pikkarainen', 'uida', 'suomi', 'ennätys']]
2009;12;11;[['hyvärinen', 'moittia', 'vanhanen', 'kohtelu'], ['ei', 'ydinvoimala', 'ruotsinpyhtää'], ['murtoauto', 'sytyttää', 'huoltamopalko'], ['eu', 'hakea', 'sopu', 'ilmastotuki'], ['seppälä', 'uida', 'alkuerä', 'kolmas']]
2009;12;12;[['suurmielenosoitus', 'kööpenhamina'], ['päivi', 'räsänen', 'islam', 'huolestuttaa'], ['tu', 'valmis', 'pitkä', 'työkiista'], ['tiger', 'woods', 'vetäytyä', 'golfkenttä'], ['tv2n', 'urheilulauantai', 'kello', '12', '15']]
2009;12;13;[['tanska', 'mielenosoittaja', 'vapautettu'], ['brown', 'vierailu', 'afganistan'], ['verenpaine', 'hoitotulos', 'heikka'], ['usea', 'pala', 'taltuttaa', 'yö'], ['hagman', 'ja', 'toskala', 'pelipää']]
2009;12;14;[['isä', 'mitron', 'pappiskielto', 'pysyä'], ['berlusconi', 'edessä', 'sairaala'], ['gm', 'myymä', 'osa', 'saab', 'kiina'], ['valkea', 'joulu', 'lupa', 'koko', 'maa'], ['kovalainen', 'lotus', 'sopimus', 'varmistua'], ['chicago', 'niemi', 'makea', 'nollapeli']]
2009;12;15;[['pakkasennätys', 'rikki', 'kylmyys', 'jatkua'], ['turvallisuudentunne', 'heikentynyt'], ['vanhanen', 'tavata', 'palkansaajajohto'], ['kauppa', 'myynti', 'jatkaa', 'lasku'], ['nummelin', 'jäädä', 'pois', 'moskova']]
2009;12;16;[['katainen', 'puolustaa', 'perintövero'], ['pakkasennätys', 'mennä', 'rikki', 'salla'], ['kööpenhamina', 'taas', 'mielenosoitus'], ['hienonen', 'srvn', 'toimitus', 'johtaja'], ['veikkausliigaseura', 'taloussyyni']]
2009;12;17;[['glo', 'hotelli', 'huumejuttu', 'läpimurto'], ['handelsbanken', 'vaimea', 'elpyä'], ['kiina', 'ei', 'usko', 'ilmastosopu', 'synty'], ['huume', 'johtaja', 'surmattu', 'meksiko'], ['nhl', 'tuomo', 'ruutu', 'iskeä', 'kypärätemppu']]
